StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
15:15:59.384686,          ,man,0,0,,0,0,0,0,STA
15:16:50.113712,          ,man,0,0,,109,1,550,10994904,CON
15:17:50.106780,          ,man,0,0,,156,1,607,11045080,CON
15:18:50.113969,          ,man,0,0,,188,1,492,11079424,CON
15:19:50.173471,          ,man,0,0,,217,1,510,11112304,CON
15:20:50.158602,          ,man,0,0,,247,1,538,11144456,CON
15:21:50.151245,          ,man,0,0,,290,1,535,11193896,CON
15:22:50.139301,          ,man,0,0,,340,1,627,11247968,CON
15:23:50.191322,          ,man,0,0,,379,1,593,11291808,CON
15:24:50.179616,          ,man,0,0,,414,1,563,11333696,CON
15:25:50.182715,          ,man,0,0,,446,1,518,11366824,CON
15:26:50.145355,          ,man,0,0,,490,1,538,11415536,CON
15:27:50.121727,          ,man,0,0,,526,1,588,11454264,CON
15:28:50.111228,          ,man,0,0,,567,1,547,11499080,CON
15:29:50.141402,          ,man,0,0,,596,1,544,11533176,CON
15:30:50.135726,          ,man,0,0,,649,1,620,11591144,CON
15:31:50.173685,          ,man,0,0,,697,1,597,11649104,CON
15:32:50.194907,          ,man,0,0,,742,1,596,11695872,CON
15:33:50.195512,          ,man,0,0,,771,1,528,11727536,CON
15:34:50.129339,          ,man,0,0,,804,1,561,11763584,CON
15:35:50.199115,          ,man,0,0,,835,1,526,11798656,CON
15:36:50.134646,          ,man,0,0,,886,1,565,11853852,CON
15:37:50.179791,          ,man,0,0,,919,1,525,11889412,CON
15:38:50.137100,          ,man,0,0,,958,1,574,11931548,CON
15:39:50.163472,          ,man,0,0,,992,1,601,11967596,CON
15:40:50.193173,          ,man,0,0,,1032,1,553,12011436,CON
15:41:50.178214,          ,man,0,0,,1060,1,516,12043340,CON
15:42:50.149278,          ,man,0,0,,1095,1,542,12082308,CON
15:43:50.160602,          ,man,0,0,,1135,1,541,12124932,CON
15:44:50.151253,          ,man,0,0,,1169,1,538,12163412,CON
15:45:50.167824,          ,man,0,0,,1199,1,508,12195076,CON
15:46:50.164182,          ,man,0,0,,1241,1,597,12241108,CON
15:47:50.103473,          ,man,0,0,,1274,1,595,12276668,CON
15:48:50.179427,          ,man,0,0,,1305,1,542,12308820,CON
15:49:50.105204,          ,man,0,0,,1352,1,558,12362156,CON
15:50:50.143622,          ,man,0,0,,1386,1,509,12398204,CON
15:51:50.167327,          ,man,0,0,,1428,1,583,12447884,CON
15:52:50.188946,          ,man,0,0,,1454,1,525,12473948,CON
15:53:50.169737,          ,man,0,0,,1489,1,552,12510484,CON
15:54:50.129244,          ,man,0,0,,1525,1,587,12549940,CON
15:55:50.121693,          ,man,0,0,,1555,1,565,12582820,CON
15:56:50.123350,          ,man,0,0,,1594,1,568,12624956,CON
15:57:50.167376,          ,man,0,0,,1625,1,529,12660756,CON
15:58:50.157282,          ,man,0,0,,1658,1,513,12695100,CON
15:59:50.196266,          ,man,0,0,,1691,1,532,12729444,CON
15:15:50.675195, e        ,tcp,162.243.190.66,56640,  <?>,137.184.18.211,902,352,23432,CON
15:15:50.925349, e        ,tcp,91.198.115.205,1395,  <?>,137.184.18.211,18080,10,746,FIN
15:15:51.352200, e        ,tcp,92.63.197.171,43737,   ->,137.184.18.211,17720,3,166,RST
15:15:51.736152, e s      ,tcp,137.184.18.211,18080,  <?>,162.218.65.2,ripd,2098,161013,CON
15:15:52.781213, e        ,tcp,162.218.65.252,62113,  <?>,137.184.18.211,18080,10,746,FIN
15:15:53.779448, e        ,tcp,162.218.65.140,45669,  <?>,137.184.18.211,18080,14,1053,FIN
15:15:54.096802, e        ,tcp,40.115.49.158,59420,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:15:54.805719, e        ,tcp,111.7.96.134,10639,   ->,137.184.18.211,12407,2,120,RST
15:15:56.709862, e g      ,tcp,162.243.190.66,58794,  <?>,137.184.18.211,902,360,24040,CON
15:15:57.292545, e d      ,tcp,198.211.111.194,21385,  <?>,137.184.18.211,902,10288,1008428,CON
15:15:58.628213, e g      ,tcp,162.243.190.66,34441,  <?>,137.184.18.211,902,696,92668,CON
15:15:59.042678, e        ,tcp,162.218.65.253,11120,   ->,137.184.18.211,18080,21,1791,FIN
15:15:59.373086, e s      ,tcp,91.198.115.205,7674,   ->,137.184.18.211,18080,80,6338,FIN
15:16:03.677891, e        ,tcp,54.149.99.181,55274,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:16:14.388422, e        ,tcp,91.240.118.71,52931,   ->,137.184.18.211,25039,3,166,RST
15:16:16.439312, e        ,tcp,40.115.49.158,64044,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:16:24.290875, e        ,tcp,162.218.65.254,21170,   ->,137.184.18.211,18080,21,1791,FIN
15:16:28.532946, e        ,tcp,54.149.99.181,61700,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:16:34.284241, e        ,tcp,5.188.206.134,50467,   ->,137.184.18.211,32594,3,166,RST
15:16:34.705285, e        ,udp,137.184.18.211,48032,  <->,67.207.67.2,domain,2,178,CON
15:16:34.705702, e        ,udp,137.184.18.211,42147,  <->,67.207.67.2,domain,2,190,CON
15:16:34.709098, e s      ,tcp,137.184.18.211,53162,   ->,51.89.217.80,9999,423,73993,CON
15:16:35.018097, e        ,tcp,88.152.9.188,32072,   ?>,137.184.18.211,18080,1,56,RST
15:16:35.248413, e        ,tcp,104.248.172.218,61953,   ->,137.184.18.211,8001,2,110,RST
15:16:36.727236, M        ,tcp,137.184.18.211,38014,   ->,169.254.169.254,http,10,2113,FIN
15:16:38.709682, e        ,tcp,40.115.49.158,52668,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:16:39.317909, e        ,tcp,91.198.115.2,63014,   ->,137.184.18.211,18080,21,1791,FIN
15:16:42.453118, e        ,tcp,92.63.197.169,47138,   ->,137.184.18.211,6268,3,166,RST
15:16:50.059380, e        ,tcp,42.3.7.90,23442,   ->,137.184.18.211,2323,2,110,RST
15:16:51.293683, e        ,tcp,5.188.206.66,57941,   ->,137.184.18.211,8153,3,166,RST
15:16:54.202345, e        ,tcp,54.149.99.181,51749,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:16:54.575695, e        ,tcp,91.198.115.3,52936,   ->,137.184.18.211,18080,21,1791,FIN
15:16:55.379167, e        ,tcp,185.95.16.5,35632,   ->,137.184.18.211,18080,7,773,FIN
15:16:59.468500, e        ,tcp,91.198.115.205,46381,   ->,137.184.18.211,18080,59,4772,FIN
15:17:00.723272, e        ,tcp,40.115.49.158,57085,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:17:09.824085, e        ,tcp,91.198.115.4,44391,   ->,137.184.18.211,18080,21,1791,FIN
15:17:14.272499, e        ,tcp,71.6.233.94,9000,   ->,137.184.18.211,9000,2,110,RST
15:17:19.251130, e        ,tcp,54.149.99.181,58178,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:17:23.798105, e        ,tcp,185.156.73.107,52462,   ->,137.184.18.211,31876,3,166,RST
15:17:25.155850, e        ,tcp,91.198.115.5,14978,   ->,137.184.18.211,18080,21,1791,FIN
15:17:26.231232, e        ,tcp,40.115.49.158,61843,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:17:40.350590, e s      ,tcp,91.198.115.6,55348,   ->,137.184.18.211,18080,27,2979,FIN
15:17:42.753058, e        ,tcp,111.7.96.135,14582,   ->,137.184.18.211,6661,2,120,RST
15:17:43.677671, e        ,tcp,91.191.209.14,47966,   ->,137.184.18.211,5841,3,166,RST
15:17:44.564570, e        ,tcp,54.149.99.181,64603,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:17:47.081528, e        ,udp,137.184.18.211,48839,  <->,67.207.67.2,domain,2,234,CON
15:17:47.081723, e        ,udp,137.184.18.211,48745,  <->,67.207.67.2,domain,2,234,CON
15:17:47.081964, e        ,udp,137.184.18.211,34064,  <->,67.207.67.2,domain,2,258,CON
15:17:47.082048, e        ,udp,137.184.18.211,40394,  <->,67.207.67.2,domain,2,258,CON
15:17:47.086447, e        ,tcp,137.184.18.211,36812,   ->,104.16.182.15,https,62,120682,FIN
15:17:49.431459, e        ,tcp,193.163.125.51,42365,   ->,137.184.18.211,50996,2,112,RST
15:17:50.746171, e        ,tcp,40.115.49.158,50098,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:17:53.806787, e   t    ,tcp,116.62.223.211,54170,   ->,137.184.18.211,ms-wbt-server,8,505,RST
15:17:59.738633, e s      ,tcp,91.198.115.205,41281,   ->,137.184.18.211,18080,47,3825,FIN
15:18:00.793863, e        ,tcp,92.63.197.169,47138,   ->,137.184.18.211,18370,3,166,RST
15:18:04.980599, e        ,tcp,185.156.73.160,47167,   ->,137.184.18.211,15724,3,166,RST
15:18:05.645977, e        ,tcp,91.198.115.7,17112,   ->,137.184.18.211,18080,24,1989,FIN
15:18:11.110303, e        ,tcp,54.149.99.181,54661,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:18:13.162675, e        ,tcp,40.115.49.158,54789,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:18:20.718057, e        ,tcp,91.198.115.8,36049,   ->,137.184.18.211,18080,21,1791,FIN
15:18:21.977003, e        ,tcp,89.248.165.118,42000,   ->,137.184.18.211,1945,3,166,RST
15:18:35.497997, e        ,tcp,40.115.49.158,58920,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:18:35.817831, e s      ,tcp,91.198.115.9,22181,   ->,137.184.18.211,18080,14,1255,FIN
15:18:35.983143, e        ,tcp,54.149.99.181,61085,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:18:36.747632, M        ,tcp,137.184.18.211,56936,   ->,169.254.169.254,http,10,2113,FIN
15:18:38.307520, e        ,tcp,165.173.13.190,45384,   ->,137.184.18.211,18080,7,754,FIN
15:18:51.529132, e        ,tcp,79.124.62.86,46824,   ->,137.184.18.211,14290,3,166,RST
15:18:54.342161, e        ,tcp,162.142.125.92,3944,   ->,137.184.18.211,18054,2,112,RST
15:18:56.487609, e        ,tcp,91.191.209.210,51035,   ->,137.184.18.211,919,3,166,RST
15:18:57.814308, e        ,tcp,40.115.49.158,63464,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:18:57.873884, e        ,tcp,91.198.115.10,10798,   ->,137.184.18.211,18080,21,1791,FIN
15:18:59.852873, e        ,tcp,194.26.29.86,53388,   ->,137.184.18.211,4090,3,166,RST
15:19:00.098532, e        ,tcp,91.198.115.205,61415,   ->,137.184.18.211,18080,57,4597,FIN
15:19:00.646980, e        ,tcp,54.149.99.181,51131,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:19:13.101428, e        ,tcp,91.198.115.11,38192,   ->,137.184.18.211,18080,21,1791,FIN
15:19:20.607681, e        ,tcp,40.115.49.158,51471,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:19:21.449877, e        ,tcp,92.255.85.70,56050,   ->,137.184.18.211,ssh,2,128,RST
15:19:25.010839, e        ,tcp,54.149.99.181,57562,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:19:27.839771, e        ,tcp,158.174.73.234,34242,   ->,137.184.18.211,18080,7,772,FIN
15:19:28.385124, e s      ,tcp,91.198.115.12,23148,   ->,137.184.18.211,18080,27,2247,FIN
15:19:46.552243, e        ,tcp,40.115.49.158,56612,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:19:51.637778, e        ,tcp,54.149.99.181,63986,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:19:53.398494, e s      ,tcp,91.198.115.13,36868,   ->,137.184.18.211,18080,27,2328,FIN
15:20:00.428033, e s      ,tcp,91.198.115.205,19930,   ->,137.184.18.211,18080,74,6049,FIN
15:20:01.459690, e * t    ,tcp,116.62.223.211,58144,   ->,137.184.18.211,ms-wbt-server,11,726,CON
15:20:08.503323, e s      ,tcp,91.198.115.14,21203,   ->,137.184.18.211,18080,27,2247,FIN
15:20:08.556601, e        ,tcp,40.115.49.158,60963,   ->,137.184.18.211,ms-wbt-server,7,468,RST
