StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
15:15:59.384686,          ,man,0,0,,0,0,0,0,STA
16:00:50.131143,          ,man,0,0,,1728,1,547,12768172,CON
16:01:50.131157,          ,man,0,0,,1762,1,535,12805436,CON
16:02:50.101712,          ,man,0,0,,1801,1,566,12846356,CON
16:03:50.186192,          ,man,0,0,,1833,1,572,12881428,CON
16:04:50.189890,          ,man,0,0,,1874,1,571,12926972,CON
16:05:50.167825,          ,man,0,0,,1913,1,557,12970324,CON
16:06:50.128326,          ,man,0,0,,1942,1,558,13000284,CON
16:07:50.194758,          ,man,0,0,,1976,1,553,13035116,CON
16:08:50.160067,          ,man,0,0,,2010,1,564,13068732,CON
16:09:50.116399,          ,man,0,0,,2042,1,580,13103804,CON
16:10:50.126770,          ,man,0,0,,2076,1,550,13139852,CON
16:11:50.114576,          ,man,0,0,,2120,1,669,13189292,CON
16:12:50.132700,          ,man,0,0,,2154,1,567,13227772,CON
16:13:50.123566,          ,man,0,0,,2193,1,566,13272340,CON
16:14:50.189772,          ,man,0,0,,2233,1,565,13317396,CON
16:00:55.335595,          ,tcp,40.115.49.158,57019,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:15:50.146175,          ,man,0,0,,2263,1,548,13352468,CON
16:00:00.000000,          ,tcp,137.184.18.211,902,  <->,162.243.190.66,56640,126,8388,CON
16:00:00.000000,          ,tcp,162.218.65.2,ripd,  <->,137.184.18.211,18080,752,57715,CON
16:00:00.000000,          ,tcp,162.243.190.66,58794,  <->,137.184.18.211,902,131,8750,CON
16:00:00.000000,          ,tcp,198.211.111.194,21385,  <->,137.184.18.211,902,3727,365354,CON
16:00:00.000000,          ,tcp,162.243.190.66,34441,  <->,137.184.18.211,902,251,33450,CON
16:00:00.000000,          ,tcp,137.184.18.211,53162,  <->,51.89.217.80,9999,161,28180,CON
16:16:50.195426,          ,man,0,0,,2273,1,578,13393508,CON
16:17:50.129938,          ,man,0,0,,2257,1,532,13428636,CON
16:18:50.146541,          ,man,0,0,,2257,1,569,13474180,CON
16:19:50.194339,          ,man,0,0,,2268,1,631,13520940,CON
16:20:50.168150,          ,man,0,0,,2286,1,620,13576956,CON
16:21:50.157392,          ,man,0,0,,2276,1,539,13611204,CON
16:22:50.117405,          ,man,0,0,,2279,1,616,13662356,CON
16:23:50.114726,          ,man,0,0,,2259,1,530,13691092,CON
16:24:50.166739,          ,man,0,0,,2254,1,496,13721780,CON
16:25:50.178942,          ,man,0,0,,2237,1,453,13750516,CON
16:26:50.143263,          ,man,0,0,,2231,1,545,13784612,CON
16:27:50.157139,          ,man,0,0,,2213,1,573,13813836,CON
16:28:50.077771,          ,man,0,0,,2205,1,598,13845012,CON
16:29:50.132325,          ,man,0,0,,2195,1,611,13873020,CON
16:30:50.150340,          ,man,0,0,,2183,1,545,13913204,CON
16:31:50.142810,          ,man,0,0,,2173,1,566,13953636,CON
16:32:50.115400,          ,man,0,0,,2150,1,543,13987244,CON
16:33:50.125495,          ,man,0,0,,2148,1,572,14024748,CON
16:34:50.193601,          ,man,0,0,,2148,1,551,14059332,CON
16:35:50.186970,          ,man,0,0,,2144,1,632,14094156,CON
16:00:00.000000,          ,arp,137.184.16.1,,  who,137.184.18.211,,4,204,CON
16:36:50.174913,          ,man,0,0,,2146,1,595,14145060,CON
16:37:50.178928,          ,man,0,0,,2133,1,508,14174284,CON
16:38:50.159656,          ,man,0,0,,2127,1,569,14211788,CON
16:39:50.178856,          ,man,0,0,,2125,1,584,14250268,CON
16:00:00.000000,          ,tcp,89.151.33.100,49956,  <->,137.184.18.211,18080,7,608,CON
16:00:00.000000,          ,tcp,162.218.65.67,11361,  <->,137.184.18.211,18080,12,968,CON
16:00:00.000000,          ,tcp,91.198.115.155,55542,  <->,137.184.18.211,18080,6,508,CON
16:00:00.777893,          ,tcp,79.225.191.17,39790,  <->,137.184.18.211,18080,11,1042,CON
16:00:03.902836,          ,tcp,91.198.115.156,10598,  <->,137.184.18.211,18080,21,1791,CON
16:00:08.151549,          ,tcp,40.115.49.158,64422,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:00:08.393073,          ,tcp,54.149.99.181,62201,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:00:11.481806,          ,tcp,162.218.65.67,57853,  <->,137.184.18.211,18080,61,4904,CON
16:00:15.644027,          ,udp,216.218.206.73,47679,   ->,137.184.18.211,17,1,56,REQ
16:00:15.644027,          ,icmp,137.184.18.211,0x0303,   ->,216.218.206.73,0x1100,1,71,URP
16:00:29.118374,          ,tcp,91.198.115.157,22932,  <->,137.184.18.211,18080,36,2998,CON
16:00:30.039096,          ,udp,137.184.18.211,54477,  <->,185.125.190.58,ntp,2,180,CON
16:00:30.486345,          ,tcp,40.115.49.158,52390,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:00:31.195108,          ,tcp,92.63.197.172,47151,  <->,137.184.18.211,52749,3,166,CON
16:00:35.793994,          ,tcp,54.149.99.181,52255,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:00:36.579351,          ,tcp,5.188.206.38,52998,  <->,137.184.18.211,4135,3,166,CON
16:00:37.091601,          ,tcp,137.184.18.211,45460,  <->,169.254.169.254,http,10,2102,CON
16:00:44.358371,          ,tcp,91.198.115.158,61937,  <->,137.184.18.211,18080,27,2247,CON
16:00:45.992012,          ,tcp,5.188.206.134,52343,  <->,137.184.18.211,51297,3,166,CON
16:00:59.504182,          ,tcp,91.198.115.159,8373,  <->,137.184.18.211,18080,21,1791,CON
16:01:00.851902,          ,tcp,54.149.99.181,58676,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:01:05.125613,          ,tcp,45.143.200.102,43154,  <->,137.184.18.211,3657,3,166,CON
16:01:11.906358,          ,tcp,162.218.65.67,25760,  <->,137.184.18.211,18080,61,4916,CON
16:01:15.437248,          ,tcp,91.198.115.160,18324,  <->,137.184.18.211,18080,21,1791,CON
16:01:16.766407,          ,tcp,40.115.49.158,61279,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:01:19.664587,          ,tcp,188.93.90.3,59792,  <->,137.184.18.211,18080,7,682,CON
16:01:22.207079,          ,tcp,114.238.206.194,37998,  <->,137.184.18.211,2323,2,110,CON
16:01:25.837252,          ,tcp,176.111.174.98,42127,  <->,137.184.18.211,5054,3,166,CON
16:01:26.564703,          ,tcp,54.149.99.181,65101,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:01:28.628137,          ,tcp,116.62.223.211,57325,  <->,137.184.18.211,ms-wbt-server,8,505,CON
16:01:30.675774,          ,tcp,91.198.115.161,47627,  <->,137.184.18.211,18080,21,1791,CON
16:01:38.610907,          ,tcp,40.115.49.158,49592,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:01:43.306678,          ,tcp,92.63.197.169,47138,  <->,137.184.18.211,15692,3,166,CON
16:01:43.863021,          ,tcp,93.174.93.227,51218,  <->,137.184.18.211,60357,3,166,CON
16:01:45.827852,          ,tcp,91.198.115.162,55292,  <->,137.184.18.211,18080,21,1791,CON
16:01:52.495406,          ,tcp,54.149.99.181,55158,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:01:57.105700,          ,tcp,212.24.168.154,46470,  <->,137.184.18.211,18080,7,754,CON
16:02:01.030670,          ,tcp,40.115.49.158,54399,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:02:10.842519,          ,tcp,91.198.115.163,3696,  <->,137.184.18.211,18080,21,1791,CON
16:02:11.995324,          ,tcp,162.218.65.67,7940,  <->,137.184.18.211,18080,57,4597,CON
16:02:16.016404,          ,tcp,209.222.252.209,22776,  <->,137.184.18.211,18080,67,5360,CON
16:02:19.713516,          ,tcp,54.149.99.181,61582,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:02:25.916136,          ,tcp,40.115.49.158,59266,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:02:26.493744,          ,tcp,91.198.115.164,38276,  <->,137.184.18.211,18080,21,1791,CON
16:02:29.178013,          ,tcp,91.191.209.210,52994,  <->,137.184.18.211,37460,3,166,CON
16:02:32.195278,          ,tcp,74.208.253.57,53638,  <->,137.184.18.211,18080,7,772,CON
16:02:37.101391,          ,tcp,137.184.18.211,51700,  <->,169.254.169.254,http,10,2120,CON
16:02:38.944731,          ,tcp,167.94.146.24,14457,  <->,137.184.18.211,57560,2,112,CON
16:02:41.886210,          ,tcp,91.198.115.165,17205,  <->,137.184.18.211,18080,21,1791,CON
16:02:42.629269,          ,tcp,45.95.147.201,58244,  <->,137.184.18.211,18791,3,166,CON
16:02:45.014157,          ,tcp,54.149.99.181,51630,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:02:47.321880,          ,tcp,40.115.49.158,63687,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:02:49.007086,          ,tcp,91.191.209.14,47966,  <->,137.184.18.211,5716,3,166,CON
16:02:56.548519,          ,udp,73.178.147.31,60070,   ->,137.184.18.211,57392,1,194,REQ
16:02:56.548519,          ,icmp,137.184.18.211,0x0303,   ->,73.178.147.31,0x30e0,1,222,URP
16:02:57.051226,          ,tcp,91.198.115.166,30428,  <->,137.184.18.211,18080,21,1791,CON
16:03:05.440982,          ,tcp,79.124.62.78,46825,  <->,137.184.18.211,1464,3,166,CON
16:03:09.210148,          ,tcp,40.115.49.158,52418,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:03:11.030360,          ,tcp,54.149.99.181,58060,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:03:11.858362,          ,tcp,167.248.133.141,31181,  <->,137.184.18.211,kerberos,2,112,CON
16:03:12.251973,          ,tcp,91.198.115.167,18491,  <->,137.184.18.211,18080,27,2247,CON
16:03:12.277139,          ,tcp,162.218.65.67,30018,  <->,137.184.18.211,18080,57,4597,CON
16:03:16.233586,          ,tcp,209.222.252.209,22825,  <->,137.184.18.211,18080,69,5590,CON
16:03:27.587315,          ,tcp,91.198.115.168,34426,  <->,137.184.18.211,18080,27,2328,CON
16:03:30.969907,          ,tcp,40.115.49.158,56672,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:03:37.116142,          ,udp,159.223.138.145,8082,   ->,137.184.18.211,mdns,1,92,REQ
16:03:37.387714,          ,tcp,54.149.99.181,64485,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:03:38.474757,          ,tcp,176.111.174.111,42200,  <->,137.184.18.211,5396,3,166,CON
16:03:38.775222,          ,tcp,167.94.138.105,33457,  <->,137.184.18.211,rtsp,2,112,CON
16:03:51.979977,          ,tcp,162.218.65.219,36972,  <->,137.184.18.211,18080,5,346,CON
16:03:51.990500,          ,tcp,162.218.65.219,34129,  <->,137.184.18.211,18081,2,128,CON
16:03:52.753313,          ,tcp,91.198.115.169,37440,  <->,137.184.18.211,18080,27,2247,CON
16:03:55.504679,          ,tcp,185.156.73.131,57425,  <->,137.184.18.211,3346,3,166,CON
16:03:55.534911,          ,tcp,40.115.49.158,61009,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:00.212830,          ,tcp,91.191.209.198,41646,  <->,137.184.18.211,31300,3,166,CON
16:04:01.855421,          ,tcp,54.149.99.181,54541,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:08.184511,          ,tcp,91.198.115.170,45175,  <->,137.184.18.211,18080,27,2328,CON
16:04:11.265560,          ,tcp,92.63.197.160,47112,  <->,137.184.18.211,15780,3,166,CON
16:04:16.673932,          ,tcp,209.222.252.209,52771,  <->,137.184.18.211,18080,65,5309,CON
16:04:17.527341,          ,tcp,40.115.49.158,65523,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:19.718293,          ,tcp,45.143.203.15,44449,  <->,137.184.18.211,4634,3,166,CON
16:04:23.669693,          ,tcp,91.198.115.171,31295,  <->,137.184.18.211,18080,21,1791,CON
16:04:26.734279,          ,tcp,54.149.99.181,60965,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:28.046862,          ,tcp,144.76.129.186,34960,  <->,137.184.18.211,18080,7,784,CON
16:04:37.109443,          ,tcp,137.184.18.211,50068,  <->,169.254.169.254,http,10,2103,CON
16:04:38.853872,          ,tcp,91.198.115.172,45207,  <->,137.184.18.211,18080,21,1791,CON
16:04:39.017293,          ,tcp,40.115.49.158,53458,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:40.930208,          ,tcp,185.196.220.81,46818,  <->,137.184.18.211,81,2,110,CON
16:04:44.852951,          ,udp,211.148.109.24,16350,   ->,220.210.163.180,15721,1,578,REQ
16:04:44.853004,          ,icmp,137.184.18.211,0x0203,   ->,36.2.157.170,0x2f00,1,590,URO
16:04:53.578336,          ,tcp,200.69.84.114,55819,  <->,137.184.18.211,microsoft-ds,4,240,CON
16:04:53.893916,          ,tcp,91.198.115.173,45808,  <->,137.184.18.211,18080,27,2247,CON
16:04:54.054652,          ,tcp,54.149.99.181,51021,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:04:54.072186,          ,tcp,91.240.118.75,52970,  <->,137.184.18.211,8007,3,166,CON
16:04:54.152615,          ,tcp,162.142.125.229,20554,  <->,137.184.18.211,5987,2,112,CON
16:04:55.199326,          ,tcp,91.240.118.53,52280,  <->,137.184.18.211,3438,3,166,CON
16:05:00.639019,          ,tcp,192.110.160.146,37564,  <->,137.184.18.211,18080,7,754,CON
16:05:00.766788,          ,tcp,40.115.49.158,58303,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:05:09.175378,          ,tcp,91.198.115.174,60166,  <->,137.184.18.211,18080,21,1791,CON
16:05:10.930254,          ,tcp,89.248.163.239,51723,  <->,137.184.18.211,9510,3,166,CON
16:05:17.125921,          ,tcp,209.222.252.209,43824,  <->,137.184.18.211,18080,69,5590,CON
